rep21_13_p020(pLGA251)	FR821780  rep21_13_p020(pLGA251)_FR821780
rep21_14_rep(pKH21)	EU350088  rep21_14_rep(pKH21)_EU350088
rep21_15_SAP108D001(SAP108D)	GQ900461  rep21_15_SAP108D001(SAP108D)_GQ900461
rep21_16_rep(pLNU2)	AM184100  rep21_16_rep(pLNU2)_AM184100
rep21_17_rep(pLNU8)	AM399080  rep21_17_rep(pLNU8)_AM399080
rep21_18_rep(pLNU3)	AM184101  rep21_18_rep(pLNU3)_AM184101
rep21_19_rep(pLNU7)	AM399081  rep21_19_rep(pLNU7)_AM399081
rep21_1_rep(pWBG754)	GQ900396  rep21_1_rep(pWBG754)_GQ900396
rep21_20_p020(pLGA251)	FR821780  rep21_20_p020(pLGA251)_FR821780
rep21_22_CDS1(pUSA01)	NC007790  rep21_22_CDS1(pUSA01)_NC007790
rep21_23_CDS1(p18811P01)	CP002144  rep21_23_CDS1(p18811P01)_CP002144
rep21_24_rep(CN1_plasmid2)	NC_022227  rep21_24_rep(CN1_plasmid2)_NC_022227
rep21_25_rep(pSHaeA)	AP006717  rep21_25_rep(pSHaeA)_AP006717
rep21_26_rep(pLUH01)	FR714928  rep21_26_rep(pLUH01)_FR714928
rep21_26_rep(pSK108)	GQ900464  rep21_26_rep(pSK108)_GQ900464
rep21_27_rep(pLNU4)	AM184102  rep21_27_rep(pLNU4)_AM184102
rep21_28_rep(pUR5425)	JQ861958  rep21_28_rep(pUR5425)_JQ861958
rep21_2_rep(pNVH01)	AJ512814  rep21_2_rep(pNVH01)_AJ512814
rep21_3_rep(pS0385)	AM990995  rep21_3_rep(pS0385)_AM990995
rep21_4_repRC(pSK41)	AF051917  rep21_4_repRC(pSK41)_AF051917
rep21_5_repRC(pGO1)	FM207042  rep21_5_repRC(pGO1)_FM207042
rep21_6_rep(pBMSa1)	AY541446  rep21_6_rep(pBMSa1)_AY541446
rep21_7_rep(pWBG760)	GQ900473  rep21_7_rep(pWBG760)_GQ900473
rep21_8_rep(SAP071A)	GQ900485  rep21_8_rep(SAP071A)_GQ900485
rep21_9_rep(pKH12)	EU168704  rep21_9_rep(pKH12)_EU168704
rep22_1a_repB(pUB110)	X03408  rep22_1a_repB(pUB110)_X03408
rep22_1b_repB(pAMalpha1)	AF503772  rep22_1b_repB(pAMalpha1)_AF503772
rep22_2_repU(pKKS825)	FN377602  rep22_2_repU(pKKS825)_FN377602
rep23_1_rep(pPR9)	GU237136  rep23_1_rep(pPR9)_GU237136
rep23_2_rep(pV030)	EU366902  rep23_2_rep(pV030)_EU366902
rep24a_1_rep(pWBG745)	GQ900389  rep24a_1_rep(pWBG745)_GQ900389
rep24b_1_rep(pWBG749)	GQ900391  rep24b_1_rep(pWBG749)_GQ900391
rep24c_1_rep(pSSAP1)	FR687301  rep24c_1_rep(pSSAP1)_FR687301
rep25_1_pLM330006(pLM33)	GU244485  rep25_1_pLM330006(pLM33)_GU244485
rep25_2_M640p00130(J1776plasmid)	CP006612  rep25_2_M640p00130(J1776plasmid)_CP006612
rep26_1_pli0070(pLI100)	AL592102  rep26_1_pli0070(pLI100)_AL592102
rep26_2_repA(pLGUG1)	FR667693  rep26_2_repA(pLGUG1)_FR667693
rep26_3_M643p00680(N1011Aplasmid)	CP006611  rep26_3_M643p00680(N1011Aplasmid)_CP006611
rep26_4_repA(pLM5578)	CP001603  rep26_4_repA(pLM5578)_CP001603
rep27_1_rep(pSGG1)	FR824044  rep27_1_rep(pSGG1)_FR824044
rep27_2_repA(pSGG1)	FR824044  rep27_2_repA(pSGG1)_FR824044
rep28_1_repA(pCIS4)	CP003162  rep28_1_repA(pCIS4)_CP003162
rep28_2_LBPp6g007(LBPp6)	CP005948  rep28_2_LBPp6g007(LBPp6)_CP005948
rep29_1_CDS1(pGL)	HQ696461  rep29_1_CDS1(pGL)_HQ696461
rep29_2_EFAU085p4001(Aus0085p4)_Aus0085	  rep29_2_EFAU085p4001(Aus0085p4)_Aus0085
rep29_3_ORF8(pCIZ2)	DQ832184  rep29_3_ORF8(pCIZ2)_DQ832184
rep2_1_orf1(pRE25)	X92945  rep2_1_orf1(pRE25)_X92945
rep2_2_repR(pEF1)	DQ198088  rep2_2_repR(pEF1)_DQ198088
rep2_3_repR(pQY082)	AP013038  rep2_3_repR(pQY082)_AP013038
rep30_1_CDS22269(pLR581)	CP002845  rep30_1_CDS22269(pLR581)_CP002845
